Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D60,D,D_SOD-323,152.9375,-18.5,-90.0,top
D61,D,D_SOD-323,165.4375,-64.25,-90.0,top
D62,D,D_SOD-323,160.9375,-56.5,-90.0,top
D63,D,D_SOD-323,157.4375,-45.25,-90.0,top
D64,D,D_SOD-323,152.9375,-37.5,-90.0,top
D65,D,D_SOD-323,165.4375,-45.25,-90.0,top
D66,D,D_SOD-323,160.9375,-37.5,-90.0,top
D67,D,D_SOD-323,173.4,-83.35,-90.0,top
D68,D,D_SOD-323,168.9,-75.6,-90.0,top
D69,D,D_SOD-323,173.4375,-64.25,-90.0,top
D70,D,D_SOD-323,168.9375,-56.5,-90.0,top
D71,D,D_SOD-323,165.4375,-26.25,-90.0,top
D72,D,D_SOD-323,160.9375,-18.5,-90.0,top
D73,D,D_SOD-323,173.4375,-45.25,-90.0,top
D74,D,D_SOD-323,168.9375,-37.5,-90.0,top
D75,D,D_SOD-323,181.4,-83.25,-90.0,top
D76,D,D_SOD-323,176.9,-75.5,-90.0,top
D77,D,D_SOD-323,181.4,-64.25,-90.0,top
D78,D,D_SOD-323,176.9,-56.5,-90.0,top
D79,D,D_SOD-323,173.4375,-26.25,-90.0,top
D80,D,D_SOD-323,168.9375,-18.5,-90.0,top
D81,D,D_SOD-323,181.4375,-45.25,-90.0,top
D82,D,D_SOD-323,176.9375,-37.5,-90.0,top
D83,D,D_SOD-323,189.4,-83.25,-90.0,top
D84,D,D_SOD-323,184.9,-75.5,-90.0,top
D85,D,D_SOD-323,189.4,-64.25,-90.0,top
D86,D,D_SOD-323,184.9,-56.5,-90.0,top
D87,D,D_SOD-323,181.4375,-26.25,-90.0,top
D88,D,D_SOD-323,176.9375,-18.5,-90.0,top
D89,D,D_SOD-323,189.4375,-45.25,-90.0,top
D90,D,D_SOD-323,184.9375,-37.5,-90.0,top
D91,D,D_SOD-323,197.4375,-83.25,-90.0,top
D92,D,D_SOD-323,192.9375,-75.5,-90.0,top
D93,D,D_SOD-323,197.4375,-64.25,-90.0,top
D94,D,D_SOD-323,192.9375,-56.5,-90.0,top
D95,D,D_SOD-323,189.4375,-26.25,-90.0,top
D96,D,D_SOD-323,184.9375,-18.5,-90.0,top
D97,D,D_SOD-323,197.4375,-45.25,-90.0,top
D98,D,D_SOD-323,192.9375,-37.5,-90.0,top
D99,D,D_SOD-323,205.4,-83.35,-90.0,top
D100,D,D_SOD-323,200.9,-75.6,-90.0,top
D101,D,D_SOD-323,205.4,-64.35,-90.0,top
D102,D,D_SOD-323,200.9,-56.6,-90.0,top
D103,D,D_SOD-323,197.4375,-26.25,-90.0,top
D104,D,D_SOD-323,192.9375,-18.5,-90.0,top
D105,D,D_SOD-323,205.4,-45.35,-90.0,top
D106,D,D_SOD-323,200.9,-37.6,-90.0,top
D107,D,D_SOD-323,213.4,-102.35,-90.0,top
D108,D,D_SOD-323,208.9,-94.6,-90.0,top
D109,D,D_SOD-323,213.4,-83.35,-90.0,top
D110,D,D_SOD-323,208.9,-75.6,-90.0,top
D111,D,D_SOD-323,205.4,-26.35,-90.0,top
D112,D,D_SOD-323,200.9,-18.6,-90.0,top
D113,D,D_SOD-323,213.4375,-64.25,-90.0,top
D114,D,D_SOD-323,208.9375,-56.5,-90.0,top
D115,D,D_SOD-323,213.4,-26.35,-90.0,top
D116,D,D_SOD-323,208.9,-18.6,-90.0,top
D117,D,D_SOD-323,221.4,-102.35,-90.0,top
D118,D,D_SOD-323,216.9,-94.6,-90.0,top
D119,D,D_SOD-323,213.4375,-45.25,-90.0,top
D120,D,D_SOD-323,208.9375,-37.5,-90.0,top
D121,D,D_SOD-323,221.4375,-83.25,-90.0,top
D122,D,D_SOD-323,216.9375,-75.5,-90.0,top
D123,D,D_SOD-323,221.4,-45.2125,-90.0,top
D124,D,D_SOD-323,216.9,-37.4625,-90.0,top
D125,D,D_SOD-323,221.4,-26.2125,-90.0,top
D126,D,D_SOD-323,216.9,-18.4625,-90.0,top
D127,D,D_SOD-323,221.4375,-64.25,-90.0,top
D128,D,D_SOD-323,216.9375,-56.5,-90.0,top
D129,D,D_SOD-323,229.4,-102.35,-90.0,top
D130,D,D_SOD-323,224.9,-94.6,-90.0,top
D131,D,D_SOD-323,229.4,-64.35,-90.0,top
D132,D,D_SOD-323,224.9,-56.6,-90.0,top
D133,D,D_SOD-323,229.4,-45.2125,-90.0,top
D134,D,D_SOD-323,224.9,-37.4625,-90.0,top
D135,D,D_SOD-323,229.4375,-83.25,-90.0,top
D136,D,D_SOD-323,224.9375,-75.5,-90.0,top
D137,D,D_SMB,217.0,-147.150001,90.0,top
D138,D,D_SMB,139.650001,-118.0,0.0,top
D139,LED,LED_0603_1608Metric,207.5,-144.0,0.0,top
D140,LED,LED_0603_1608Metric,207.5,-142.5,0.0,top
D1007,LED,LED_0603_1608Metric,90.45,-89.325,-90.0,top
H1,H,M3x0.5SMDNut,189.0,-123.5,0.0,top
H2,H,M3x0.5SMDNut,109.0,-167.0,0.0,top
H3,H,M3x0.5SMDNut,227.7,-24.6,0.0,top
H4,H,M3x0.5SMDNut,195.5,-167.0,0.0,top
H5,H,M3x0.5SMDNut,90.0,-21.0,0.0,top
H6,H,M3x0.5SMDNut,127.0,-112.0,0.0,top
J1,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,90.925,-162.1875,180.0,top
J2,~,USBSolderMux,105.7,-138.9,90.0,top
J3,Conn_01x03,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,130.675,-137.2625,0.0,top
J6,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4115-03-C,99.0,-139.085,-90.0,top
J7,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,90.675,-168.7125,180.0,top
J8,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3D-SF,103.0,-151.45,0.0,top
JP1001,Jumper_2_Bridged,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,107.65,-60.25,-90.0,top
L2,2.2uH 2A,L_1008_2520Metric,119.5,-124.0,-90.0,top
L3,100uH,L_TaiTech_TMPC1265_13.5x12.5mm,154.0,-105.5,0.0,top
L4,100uH,L_TaiTech_TMPC1265_13.5x12.5mm,226.5,-154.0,180.0,top
Q1,Q_NPN_BEC,SOT-23,100.4,-22.85,0.0,top
Q2,Q_NPN_BEC,SOT-23,98.65,-29.35,270.0,top
Q3,Q_NPN_BEC,SOT-23,108.7125,-22.8125,0.0,top
Q4,Q_NPN_BEC,SOT-23,106.9625,-29.3125,270.0,top
Q5,Q_NPN_BEC,SOT-23,116.5,-22.7125,0.0,top
Q6,Q_NPN_BEC,SOT-23,115.0,-29.2125,270.0,top
Q7,Q_NPN_BEC,SOT-23,116.55,-41.7375,0.0,top
Q8,Q_NPN_BEC,SOT-23,114.8,-48.2375,270.0,top
Q9,Q_NPN_BEC,SOT-23,116.4,-60.7125,0.0,top
Q10,Q_NPN_BEC,SOT-23,114.65,-67.2125,270.0,top
Q11,Q_NPN_BEC,SOT-23,116.4375,-98.75,0.0,top
Q12,Q_NPN_BEC,SOT-23,114.6875,-105.25,270.0,top
Q13,Q_NPN_BEC,SOT-23,124.4375,-22.75,0.0,top
Q14,Q_NPN_BEC,SOT-23,122.6875,-29.25,270.0,top
Q15,Q_NPN_BEC,SOT-23,116.4375,-79.75,0.0,top
Q16,Q_NPN_BEC,SOT-23,114.6875,-86.25,270.0,top
Q17,Q_NPN_BEC,SOT-23,124.4,-41.75,0.0,top
Q18,Q_NPN_BEC,SOT-23,122.65,-48.25,270.0,top
Q19,Q_NPN_BEC,SOT-23,124.4375,-79.75,0.0,top
Q20,Q_NPN_BEC,SOT-23,122.6875,-86.25,270.0,top
Q21,Q_NPN_BEC,SOT-23,124.4375,-98.75,0.0,top
Q22,Q_NPN_BEC,SOT-23,122.6875,-105.25,270.0,top
Q23,Q_NPN_BEC,SOT-23,124.4375,-60.75,0.0,top
Q24,Q_NPN_BEC,SOT-23,122.6875,-67.25,270.0,top
Q25,Q_NPN_BEC,SOT-23,132.4375,-22.75,0.0,top
Q26,Q_NPN_BEC,SOT-23,130.6875,-29.25,270.0,top
Q27,Q_NPN_BEC,SOT-23,140.4,-22.75,0.0,top
Q28,Q_NPN_BEC,SOT-23,138.65,-29.25,270.0,top
Q29,Q_NPN_BEC,SOT-23,132.4375,-98.75,0.0,top
Q30,Q_NPN_BEC,SOT-23,130.6875,-105.25,270.0,top
Q31,Q_NPN_BEC,SOT-23,132.4375,-41.75,0.0,top
Q32,Q_NPN_BEC,SOT-23,130.6875,-48.25,270.0,top
Q33,Q_NPN_BEC,SOT-23,132.4375,-79.75,0.0,top
Q34,Q_NPN_BEC,SOT-23,130.6875,-86.25,270.0,top
Q35,Q_NPN_BEC,SOT-23,148.4375,-22.75,0.0,top
Q36,Q_NPN_BEC,SOT-23,146.6875,-29.25,270.0,top
Q37,Q_NPN_BEC,SOT-23,140.4,-79.85,0.0,top
Q38,Q_NPN_BEC,SOT-23,138.65,-86.35,270.0,top
Q39,Q_NPN_BEC,SOT-23,132.4375,-60.75,0.0,top
Q40,Q_NPN_BEC,SOT-23,130.6875,-67.25,270.0,top
Q41,Q_NPN_BEC,SOT-23,140.4,-60.85,0.0,top
Q42,Q_NPN_BEC,SOT-23,138.65,-67.35,270.0,top
Q43,Q_NPN_BEC,SOT-23,148.4375,-60.75,0.0,top
Q44,Q_NPN_BEC,SOT-23,146.6875,-67.25,270.0,top
Q45,Q_NPN_BEC,SOT-23,148.4,-41.7125,0.0,top
Q46,Q_NPN_BEC,SOT-23,146.65,-48.2125,270.0,top
Q47,Q_NPN_BEC,SOT-23,140.4375,-41.75,0.0,top
Q48,Q_NPN_BEC,SOT-23,138.6875,-48.25,270.0,top
Q49,Q_NPN_BEC,SOT-23,156.4375,-60.75,0.0,top
Q50,Q_NPN_BEC,SOT-23,154.6875,-67.25,270.0,top
Q51,Q_NPN_BEC,SOT-23,156.4375,-22.75,0.0,top
Q52,Q_NPN_BEC,SOT-23,154.6875,-29.25,270.0,top
Q53,Q_NPN_BEC,SOT-23,164.4375,-60.75,0.0,top
Q54,Q_NPN_BEC,SOT-23,162.6875,-67.25,270.0,top
Q55,Q_NPN_BEC,SOT-23,156.4375,-41.75,0.0,top
Q56,Q_NPN_BEC,SOT-23,154.6875,-48.25,270.0,top
Q57,Q_NPN_BEC,SOT-23,164.4375,-41.75,0.0,top
Q58,Q_NPN_BEC,SOT-23,162.6875,-48.25,270.0,top
Q59,Q_NPN_BEC,SOT-23,172.4,-79.85,0.0,top
Q60,Q_NPN_BEC,SOT-23,170.65,-86.35,270.0,top
Q61,Q_NPN_BEC,SOT-23,172.4375,-60.75,0.0,top
Q62,Q_NPN_BEC,SOT-23,170.6875,-67.25,270.0,top
Q63,Q_NPN_BEC,SOT-23,164.4375,-22.75,0.0,top
Q64,Q_NPN_BEC,SOT-23,162.6875,-29.25,270.0,top
Q65,Q_NPN_BEC,SOT-23,172.4375,-41.75,0.0,top
Q66,Q_NPN_BEC,SOT-23,170.6875,-48.25,270.0,top
Q67,Q_NPN_BEC,SOT-23,180.4,-79.75,0.0,top
Q68,Q_NPN_BEC,SOT-23,178.65,-86.25,270.0,top
Q69,Q_NPN_BEC,SOT-23,180.4,-60.75,0.0,top
Q70,Q_NPN_BEC,SOT-23,178.65,-67.25,270.0,top
Q71,Q_NPN_BEC,SOT-23,172.4375,-22.75,0.0,top
Q72,Q_NPN_BEC,SOT-23,170.6875,-29.25,270.0,top
Q73,Q_NPN_BEC,SOT-23,180.4375,-41.75,0.0,top
Q74,Q_NPN_BEC,SOT-23,178.6875,-48.25,270.0,top
Q75,Q_NPN_BEC,SOT-23,188.4,-79.75,0.0,top
Q76,Q_NPN_BEC,SOT-23,186.65,-86.25,270.0,top
Q77,Q_NPN_BEC,SOT-23,188.4,-60.75,0.0,top
Q78,Q_NPN_BEC,SOT-23,186.65,-67.25,270.0,top
Q79,Q_NPN_BEC,SOT-23,180.4375,-22.75,0.0,top
Q80,Q_NPN_BEC,SOT-23,178.6875,-29.25,270.0,top
Q81,Q_NPN_BEC,SOT-23,188.4375,-41.75,0.0,top
Q82,Q_NPN_BEC,SOT-23,186.6875,-48.25,270.0,top
Q83,Q_NPN_BEC,SOT-23,196.4375,-79.75,0.0,top
Q84,Q_NPN_BEC,SOT-23,194.6875,-86.25,270.0,top
Q85,Q_NPN_BEC,SOT-23,196.4375,-60.75,0.0,top
Q86,Q_NPN_BEC,SOT-23,194.6875,-67.25,270.0,top
Q87,Q_NPN_BEC,SOT-23,188.4375,-22.75,0.0,top
Q88,Q_NPN_BEC,SOT-23,186.6875,-29.25,270.0,top
Q89,Q_NPN_BEC,SOT-23,196.4375,-41.75,0.0,top
Q90,Q_NPN_BEC,SOT-23,194.6875,-48.25,270.0,top
Q91,Q_NPN_BEC,SOT-23,204.4,-79.85,0.0,top
Q92,Q_NPN_BEC,SOT-23,202.65,-86.35,270.0,top
Q93,Q_NPN_BEC,SOT-23,204.4,-60.85,0.0,top
Q94,Q_NPN_BEC,SOT-23,202.65,-67.35,270.0,top
Q95,Q_NPN_BEC,SOT-23,196.4375,-22.75,0.0,top
Q96,Q_NPN_BEC,SOT-23,194.6875,-29.25,270.0,top
Q97,Q_NPN_BEC,SOT-23,204.4,-41.85,0.0,top
Q98,Q_NPN_BEC,SOT-23,202.65,-48.35,270.0,top
Q99,Q_NPN_BEC,SOT-23,212.4,-98.85,0.0,top
Q100,Q_NPN_BEC,SOT-23,210.65,-105.35,270.0,top
Q101,Q_NPN_BEC,SOT-23,212.4,-79.85,0.0,top
Q102,Q_NPN_BEC,SOT-23,210.65,-86.35,270.0,top
Q103,Q_NPN_BEC,SOT-23,204.4,-22.85,0.0,top
Q104,Q_NPN_BEC,SOT-23,202.65,-29.35,270.0,top
Q105,Q_NPN_BEC,SOT-23,212.4375,-60.75,0.0,top
Q106,Q_NPN_BEC,SOT-23,210.6875,-67.25,270.0,top
Q107,Q_NPN_BEC,SOT-23,212.4,-22.85,0.0,top
Q108,Q_NPN_BEC,SOT-23,210.65,-29.35,270.0,top
Q109,Q_NPN_BEC,SOT-23,220.4,-98.85,0.0,top
Q110,Q_NPN_BEC,SOT-23,218.65,-105.35,270.0,top
Q111,Q_NPN_BEC,SOT-23,212.4375,-41.75,0.0,top
Q112,Q_NPN_BEC,SOT-23,210.6875,-48.25,270.0,top
Q113,Q_NPN_BEC,SOT-23,220.4375,-79.75,0.0,top
Q114,Q_NPN_BEC,SOT-23,218.6875,-86.25,270.0,top
Q115,Q_NPN_BEC,SOT-23,220.4,-41.7125,0.0,top
Q116,Q_NPN_BEC,SOT-23,218.65,-48.2125,270.0,top
Q117,Q_NPN_BEC,SOT-23,220.4,-22.7125,0.0,top
Q118,Q_NPN_BEC,SOT-23,218.65,-29.2125,270.0,top
Q119,Q_NPN_BEC,SOT-23,220.4375,-60.75,0.0,top
